Origin_State,Destination_State,Tourists_000,Is_Origin_Total,Is_Destination_Total,Year,Source_Report,Source_Table,Source_Sheet,Source_File
Johor,Terengganu,188.495,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Sabah,168.943,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Sarawak,209.896,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,W.P. Kuala Lumpur,787.645,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,W.P. Labuan,13.35,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,W.P. Putrajaya,52.906,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Malaysia,4850.245,FALSE,TRUE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Johor,133.108,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Kedah,1787.51,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Kelantan,276.209,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Melaka,96.196,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Negeri Sembilan,233.341,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Pahang,248.758,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Pulau Pinang,450.051,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Perak,723.289,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Perlis,130.848,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Selangor,297.097,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Terengganu,61.22,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Sabah,32.865,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,Sarawak,30.214,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,W.P. Kuala Lumpur,254.91,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,W.P. Labuan,7.133,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kedah,W.P. Putrajaya,87.496,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Malaysia,3115.736,FALSE,TRUE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Johor,115.899,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Kedah,132.209,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Kelantan,977.965,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Melaka,8.592,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Negeri Sembilan,106.131,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Pahang,251.898,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Pulau Pinang,146.896,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Perak,221.977,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Perlis,34.466,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Selangor,259.034,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Terengganu,496.82,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Sabah,28.812,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,Sarawak,3.6,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,W.P. Kuala Lumpur,232.399,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,W.P. Labuan,3.283,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Kelantan,W.P. Putrajaya,95.755,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Malaysia,2989.787,FALSE,TRUE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Johor,459.072,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Kedah,122.587,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Kelantan,79.537,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Melaka,266.106,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Negeri Sembilan,379.134,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Pahang,254.647,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Pulau Pinang,106.225,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Perak,259.154,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Perlis,3.154,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Selangor,378.083,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Terengganu,74.915,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Sabah,78.204,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,Sarawak,27.792,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,W.P. Kuala Lumpur,458.258,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,W.P. Labuan,1.593,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Melaka,W.P. Putrajaya,41.326,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Malaysia,3608.271,FALSE,TRUE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Johor,464.774,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Kedah,71.578,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Kelantan,258.247,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Melaka,359.632,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Negeri Sembilan,714.607,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Pahang,459.935,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Pulau Pinang,140.479,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Perak,315.022,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Perlis,18.34,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Selangor,351.433,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Terengganu,136.393,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Sabah,8.786,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,Sarawak,9.935,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,W.P. Kuala Lumpur,256.05,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,W.P. Labuan,6.764,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Negeri Sembilan,W.P. Putrajaya,36.296,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Malaysia,5744.966,FALSE,TRUE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Johor,538.802,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
