Mode,Mode_Type,Year,Visitor_Type,Share_Pct,Source_Report,Source_Table,Source_Sheet,Source_File
Private vehicles,Detailed mode,2024,Excursionists,91,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Private vehicles,Detailed mode,2024,Tourists,91.7,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Taxi,Detailed mode,2023,Visitors,4.6,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Taxi,Detailed mode,2023,Excursionists,4.4,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Taxi,Detailed mode,2023,Tourists,4.7,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Taxi,Detailed mode,2024,Visitors,4.1,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Taxi,Detailed mode,2024,Excursionists,4.6,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Taxi,Detailed mode,2024,Tourists,2.1,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Bus,Detailed mode,2023,Visitors,3.2,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Bus,Detailed mode,2023,Excursionists,3,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Bus,Detailed mode,2023,Tourists,3.6,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Bus,Detailed mode,2024,Visitors,3.9,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Bus,Detailed mode,2024,Excursionists,3.5,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Bus,Detailed mode,2024,Tourists,4.7,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Train,Detailed mode,2023,Visitors,0.5,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Train,Detailed mode,2023,Excursionists,0.6,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Train,Detailed mode,2023,Tourists,0.4,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Train,Detailed mode,2024,Visitors,1.1,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Train,Detailed mode,2024,Excursionists,0.9,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Train,Detailed mode,2024,Tourists,1.5,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
